SalmGenRowID,FishTagID,BestEstimate,Prob1,2ndBestEstimate,Prob2,Comments
1246,2018Ad_min-S_004,W,1,,0,
1247,2018Ad_min-S_005,LF,0.853600025,F,0.146400005,
1248,2018Ad_plus-F_001,F,0.99970001,,0,
1249,2018Ad_plus-F_002,F,0.994499981,,0,
1250,2018Ad_plus-F_003,F,0.995400012,,0,
1251,2018Ad_plus-F_004,F,1,,0,
1252,2018Ad_plus-F_005,F,1,,0,
1253,2018Ad_plus-F_006,F,0.999899983,,0,
1254,2018Ad_plus-F_007,F,0.99970001,,0,
1255,2018Ad_plus-F_008,F,0.976599991,LF,0.023399999,
1256,2018Ad_plus-F_009,F,0.999599993,,0,
1257,2018Ad_plus-F_010,F,0.995199978,,0,
1258,2018Ad_plus-F_011,F,0.907100022,LF,0.092900001,
1259,2018Ad_plus-F_012,F,0.961399972,LF,0.038600001,
1260,2018Ad_plus-F_013,F,0.998600006,,,
1261,2018Ad_plus-F_014,F,0.998099983,,0,
1262,2018Ad_plus-F_015,F,0.916800022,LF,0.0832,
1263,2018Ad_plus-F_016,F,0.76730001,LF,0.232700005,
1264,2018Ad_plus-F_017,LF,0.953800023,F,0.0462,
1265,2018Ad_plus-F_018,F,0.998700023,,0,
1266,2018Ad_plus-F_019,F,0.999199986,,0,
1290,2018Ad_plus-F_020,F,0,,0,CODEUNK
1267,2018Ad_plus-F_021,F,0.82190001,LF,0.178100005,
1268,2018Ad_plus-F_022,F,0.988900006,LF,0.0111,
1269,2018Ad_plus-F_023,F,0.999899983,,0,
1270,2018Ad_plus-F_024,F,0.999899983,,0,
1271,2018Ad_plus-F_025,F,0.60619998,LF,0.39379999,
1272,2018Ad_plus-F_026,F,0.999899983,,0,
1273,2018Ad_plus-F_027,F,0.963800013,LF,0.036200002,
1274,2018Ad_plus-F_028,F,1,,0,
1275,2018Ad_plus-F_029,F,0.998399973,,0,
1276,2018Ad_plus-F_030,F,0.95569998,LF,0.044300001,
1277,2018Ad_plus-F_031,F,0.937699974,LF,0.0623,
1278,2018Ad_plus-F_032,F,0.994700015,,0,
1279,2018Ad_plus-F_033,F,0.997900009,,0,
1280,2018Ad_plus-F_034,LF,0.64200002,F,0.35800001,
1281,2018Ad_plus-F_035,F,0.999499977,,0,
1282,2018Ad_plus-S_001,F,1,,0,
1283,2018Ad_plus-S_002,F,1,,0,
1284,2018Ad_plus-S_003,F,0.987299979,LF,0.0127,
1285,2018Ad_plus-S_004,F,0.973800004,LF,0.0262,
1286,2018Ad_plus-S_005,F,0.986000001,LF,0.014,
1287,2018Ad_plus-S_006,F,1,,0,
1288,2018Ad_plus-S_007,F,0.999800026,,0,
1289,2018Ad_plus-S_008,F,0.99940002,,0,
2273,2019_ACHN_001,S,1,,0,
2275,2019_ACHN_002,F,1,,0,
2020,2019_ACHN_008,F,0.997200012,,0,
2021,2019_ACHN_012,F,0.998700023,,0,
2022,2019_ACHN_022,F,0.998199999,,0,
2023,2019_ACHN_023,F,0.95539999,S,0.038600001,Spring run from Deer Creek
